StringBuilder sb = null;#393,20.028000571511008
case 1:#439,19.411008410983616
if (stringVal.length() > 1 &&#275,18.9859496222602
if (callTarget == null) {#77,18.93992265065511
if ((start + length) > stringAsString.length() ||#517,18.92894246843126
if (callTarget == null) {#53,18.899560723985946
if (sb != null) {#407,18.88875846862793
if (isParseInt) {#248,18.88647162914276
if (isParseInt) {#273,18.823347806930542
if (functionNameString.equals("toLowerCase")) {#96,18.786122274398803
String functionNameString = callTarget.getString();#137,18.780945833991556
int fromIndex = isIndexOf ? 0 : lstring.length();#344,18.770402506778115
if (sb == null) {#400,18.761275164286296
case 0:#434,18.758660316467285
(secondArg.getType() != Token.NUMBER)) {#221,18.716578722000122
if (sb != null) {#422,18.69032859802246
try {#294,18.685503482818604
if (callTarget == null || !NodeUtil.isGetProp(callTarget)) {#370,18.675729791323345
if (!isEcmaScript5OrGreater() &&#285,18.670795700766824
foldedSize += sb.length() + 2;#410,18.654641015189036
catch(NumberFormatException e) {#308,18.6504317011152
private String normalizeNumericString(String input) {#180,18.644404411315918
try {#303,18.634636640548706
if (arg1 != null && arg1.getType() == Token.NUMBER) {#542,18.62992258866628
if (functionNameString.equals("parseInt") ||#142,18.6279749643235
(secondArg.getType() != Token.NUMBER)) {#348,18.624716639518738
if ((secondArg.getNext() != null) ||#347,18.597130563524033
if (functionNameString.equals("indexOf") ||#103,18.575644091555947
int indexVal = isIndexOf ? lstring.indexOf(searchValue, fromIndex)#354,18.57551650206248
String stringAsString = stringNode.getString();#540,18.557590421040853
String stringAsString = stringNode.getString();#486,18.535889180501304
String functionNameString = functionName.getString();#93,18.53583749135335
if (arg2.getType() == Token.NUMBER) {#550,18.52873420715332
foldedSize += sb.length() + 2;#425,18.523841689614688
if (arg1 != null && arg1.getType() == Token.NUMBER) {#490,18.508355617523193
if ((secondArg.getNext() != null) ||#220,18.501212649875217
int start, end;#539,18.4769197040134
firstArgument.getType() == Token.NUMBER)) {#141,18.451478958129883
if (NodeUtil.isGet(callTarget)) {#57,18.44820885909231
if ((end > stringAsString.length()) ||#569,18.427058919270834
if ((firstArgument != null) &&#139,18.421057256062827
if (arg2.getType() == Token.NUMBER) {#498,18.40842460450672
if (!NodeUtil.isName(callTarget)) {#133,18.368693050585296
if (arg2 != null) {#497,18.36724313100179
String result = stringAsString.substring(start, start + length);#523,18.362857866287232
(firstArgument.getType() == Token.STRING ||#140,18.352660536766052
